상호명,분류,영업상태,도로명주소,시군구명,공사립구분,위도,경도,인허가일자,폐업일자
얼티밋 크로스핏 방배점,크로스핏,영업중,"서울특별시 서초구 방배로 94, 지하2층 (방배동)",서초구,사립,37.482771409178056,126.99423666737975,2016-12-12,
크로스핏 헬퍼,크로스핏,영업중,"서울특별시 마포구 성미산로1길 61, 지하1층 (성산동)",마포구,사립,37.56043273677412,126.90383562564418,2019-10-31,
크로스핏 강남(언주),크로스핏,영업중,"서울특별시 강남구 논현로 614, ARTISAN 빌 지하3층 (논현동)",강남구,사립,37.50860905321301,127.03072684372964,2020-03-19,
위크로스핏 양재,크로스핏,영업중,"서울특별시 강남구 남부순환로355길 13, 지하1층 (도곡동)",강남구,사립,37.48584814371575,127.03281259412893,2021-12-29,
크로스핏 무브먼트,크로스핏,영업중,"서울특별시 영등포구 양평로23길 7, 지하 1층 2호 (양평동5가)",영등포구,사립,37.53789103027989,126.88945852247168,2021-12-24,
크로스핏 스팀펑크 신촌,크로스핏,영업중,"서울특별시 서대문구 연세로5다길 22-3, 지하층 (창천동)",서대문구,사립,37.556795180831536,126.93141632789559,2015-04-16,
크로스핏 코알라,크로스핏,영업중,"서울특별시 강서구 화곡로66길 66, 등촌2차크라운팰리스 B101호 (등촌동)",강서구,사립,37.55672926246274,126.8539931198098,2021-12-02,
크로스핏하운드,크로스핏,영업중,"서울특별시 송파구 송이로 166, 지하101호호 (가락동, 가락우성2차아파트)",송파구,사립,37.49187908371064,127.12262303228592,2021-11-18,
센티넬 크로스핏 한남1(Sentinel CrossFit Hannam),크로스핏,영업중,서울특별시 용산구 한남대로21길 17 (한남동),용산구,사립,37.53410990755178,127.00362903749377,2011-12-15,
크로스핏 라임라잇(주),크로스핏,영업중,"서울특별시 강남구 언주로168길 15, 지하1층 (신사동)",강남구,사립,37.526449750031276,127.03199648461559,2021-05-18,
우리 크로스핏 구디,크로스핏,영업중,"서울특별시 구로구 디지털로32나길 22, 지하1층 (구로동)",구로구,사립,37.48401265120398,126.89783068784801,2021-06-11,
크로스핏 온앤온,크로스핏,영업중,"서울특별시 동대문구 천호대로85길 32, 동양빌딩 지하1층 (장안동)",동대문구,사립,37.563352106304926,127.06403074653643,2020-09-16,
우리 크로스핏 지엘짐 역도체육관 본점,크로스핏,영업중,"서울특별시 관악구 쑥고개로 121, 지하2-3층 (봉천동, 삼일빌딩)",관악구,사립,37.479148515623955,126.9471738871758,2020-10-07,
크로스핏 쿠타짐 영등포,크로스핏,영업중,"서울특별시 영등포구 선유동2로 9, 케이타워 (양평동3가)",영등포구,사립,37.53007083880921,126.8915266595265,2020-09-29,
위크로스핏,크로스핏,영업중,"서울특별시 서초구 서초중앙로 115, 서용빌딩 지층 (서초동)",서초구,사립,37.49201705538644,127.01080665615883,2020-11-04,
크로스핏 파무짐,크로스핏,영업중,"서울특별시 중랑구 중랑천로 332, 상가동 1, 지하1층 101, B01호 (묵동, 묵동한국아파트)",중랑구,사립,37.614337907718365,127.0706018218269,2020-11-09,
크로스핏 삼손,크로스핏,영업중,"서울특별시 중구 수표로 65, 강남빌딩 지하층 (수표동)",중구,사립,37.56706861379218,126.98651813479559,2020-11-10,
크로스핏 타키온,크로스핏,영업중,"서울특별시 강남구 논현로 90, 보성빌딩 지하1층 (개포동)",강남구,사립,37.47796296129049,127.04218522233313,2022-11-04,
크로스핏 긱스,크로스핏,영업중,"서울특별시 영등포구 양평로12가길 4, 지하1층 (당산동6가)",영등포구,사립,37.53627848556013,126.89767934557409,2022-10-20,
크로스핏 쿠타짐 영등포,크로스핏,영업중,"서울특별시 영등포구 선유동2로 9, 케이타워 지하1층 (양평동3가)",영등포구,사립,37.53007083880921,126.8915266595265,2022-10-20,
로키크로스핏,크로스핏,영업중,"서울특별시 구로구 경인로67길 23, 101동 B101호 (신도림동, 신도림2차푸르지오)",구로구,사립,37.5104944703726,126.88656285927223,2021-02-18,
얼티밋크로스핏 이수점,크로스핏,영업중,"서울특별시 동작구 동작대로13길 12, 자매빌딩 지층 (사당동)",동작구,사립,37.48192716312244,126.97753528232671,2021-02-08,
크로스핏로꼬,크로스핏,영업중,"서울특별시 성북구 보문로 152, 윤홍빌딩 B2층 (삼선동5가)",성북구,사립,37.588470318474435,127.01481774890219,2021-04-06,
크로스핏 강동,크로스핏,영업중,"서울특별시 강동구 천호대로175길 42, 지층 103호 (길동)",강동구,사립,37.53649035307684,127.13455641152566,2014-06-23,
리폼드 크로스핏,크로스핏,영업중,"서울특별시 강서구 마곡중앙로 171, 마곡나루역프라이빗타워Ⅱ B105호 (마곡동)",강서구,사립,37.56904704592229,126.82488752335888,2018-04-06,
크로스핏(헬스),크로스핏,영업중,서울특별시 동대문구 왕산로 122 (용두동),동대문구,사립,37.57780612708164,127.03399275850546,2014-11-10,
크로스핏 앤츠,크로스핏,영업중,"서울특별시 도봉구 도봉로 454, 지층 (창동)",도봉구,사립,37.64621608054549,127.03081862942186,2018-05-15,
크로스핏 잭팟,크로스핏,영업중,"서울특별시 구로구 구로중앙로 134, 지층 라 88호 외 46호 (구로동, 신구로자이나인스에비뉴)",구로구,사립,37.49989663717543,126.88122282064738,2017-01-12,
AKA 크로스핏,크로스핏,영업중,"서울특별시 강서구 강서로 392-11, B1층 (등촌동, 진성프라자)",강서구,사립,37.56077389836467,126.83685296824898,2015-08-31,
크로스핏 팬덤,크로스핏,영업중,"서울특별시 강서구 화곡로 154, B1층 (화곡동, 청산빌딩1)",강서구,사립,37.54093373416933,126.83606937687972,2015-03-27,
크로스핏 강남 반포,크로스핏,영업중,"서울특별시 서초구 방배중앙로 204, 리첸시아 지하1층 (방배동)",서초구,사립,37.49728056532831,126.98281824399011,2022-07-19,
크로스핏 지케이,크로스핏,영업중,"서울특별시 강동구 양재대로 1609 (천호동, 조희빌딩)",강동구,사립,37.54927253587935,127.14054575167152,2017-02-27,
크로스핏 얼티메이트,크로스핏,영업중,서울특별시 도봉구 도봉로 571 (쌍문동),도봉구,사립,37.65604341008726,127.03578861301189,2016-06-09,
얼티밋크로스핏 난곡점,크로스핏,영업중,"서울특별시 관악구 남부순환로 1464, 지층 (신림동, 승도빌딩)",관악구,사립,37.48128751877543,126.91047374284787,2016-02-05,
