요리,종류,난이도,소요시간,링크,재료,재료수
잔치 국수호박,메인요리,1,20,https://wtable.co.kr/recipes/BEEiAX89Uh1NdFXq29jTLhaM?location=recipe_home,다시마 표고버섯 물 국간장 홍고추 소금 청고추 육수용멸치 고춧가루 달걀 간장 다진마늘 국수호박 후춧가루 참치액,15
미트볼 스파게티 ,메인요리,1,30,https://wtable.co.kr/recipes/qdfgeogcMAKynFFyLEyd6XFm?location=recipe_home,다진쇠고기 물 소금 파슬리 후추 식용유 바질 빵가루 양파 스파게티면 달걀 토마토소스 마늘 파마산치즈 토마토,15
낙지 초무침,메인요리,1,20,https://wtable.co.kr/recipes/9AXrx7GuETcERtp17H4FyZ1w?location=recipe_home,설탕 손질낙지 홍고추 소금 고춧가루 식초 청양고추 양파 당근 고추장 참기름 다진마늘 매실청 미나리 통깨,15
차돌박이 버섯전골,메인요리,2,30,https://wtable.co.kr/recipes/ahiJkdDYPd7eha1h5ZWj7Ueg?location=recipe_home,국간장 고춧가루 고추냉이 애호박 느타리버섯 다진마늘 후춧가루 설탕 고추장 홍고추 식초 양파 대파 미나리 표고버섯 팽이버섯 된장 새송이버섯 간장 다시마육수 차돌박이,21
대파 닭고기 우동,메인요리,1,20,https://wtable.co.kr/recipes/ZQ1u19nBCyPAxjxhWULLiRWr?location=recipe_home,쯔유 닭다리살 소금 다시마멸치육수 청양고추 우동면 후춧가루 대파 맛술,9
관자 파스타,메인요리,1,25,https://wtable.co.kr/recipes/WQotgEoyqcw79SouPdQz5UkM?location=recipe_home,이탈리안파슬리 소금 파스타면 화이트인 페페론치노 버터 마늘 레몬 후춧가루 올리브오일 관자,11
채식 순두부찌개,메인요리,2,35,https://wtable.co.kr/recipes/6a2TPSB7SApLmpW7gxjyEaEP?location=recipe_home,표고버섯 다시마물 국간장 소금 고추기름 고춧가루 청양고추 양파 애호박 들기름 다진마늘 게배추김치 후춧가루 대파 순두부 맛술,16
에어프라이어 두부구이,메인요리,1,30,https://wtable.co.kr/recipes/URzgJuU3Xhi3ZrvtGPEMfwRz?location=recipe_home,두부 소금 간장 후춧가루 올리브오일,5
라이스페이퍼 감자빵,메인요리,1,20,https://wtable.co.kr/recipes/xdBn7uedqYALsacP3xK1jChh?location=recipe_home,검은깨 라이스페이퍼 감자 소금 버터 슬라이스햄 후춧가루 검은콩가루 마요네즈,9
굴 부추전,메인요리,1,20,https://wtable.co.kr/recipes/6MyaXPhLQMy8d2L9VPenELpP?location=recipe_home,설탕 진간장 참치액젓 물 홍고추 부추 굴 식용유 청양고추 부침가루 달걀 다진마늘 레몬즙,13
굴 버터 덮밥,메인요리,1,25,https://wtable.co.kr/recipes/HbeoSPp3crCseyyDcXcyMfma?location=recipe_home,설탕 물 굴 밀가루 청주 달걀노른자 쪽파 밥 간장 다진마늘 레몬 무염버터 후춧가루 생강가루,14
굴 파스타,메인요리,1,25,https://wtable.co.kr/recipes/2NStnDUcvhE84H68TAwjsSkm?location=recipe_home,화이트인 소금 파스타면 굴 페퍼론치노 마늘 레몬 파마산치즈 후춧가루 올리브오일 대파 딜,12
허니 버터 고구마,메인요리,1,30,https://wtable.co.kr/recipes/DYiZ7CZLwUmm1DEtfxhRTJix?location=recipe_home,파슬리가루 호박고구마 꿀 버터 피자치즈,5
두부소박이,메인요리,2,40,https://wtable.co.kr/recipes/ia2GUZ9Syy9nahhDAKj5LSHa?location=recipe_home,다진쇠고기 두부 표고버섯 설탕 물 소금 식용유 당근 부침가루 쪽파 고추장 간장 다진마늘 참기름 오이 후춧가루,16
비프 부르기뇽,메인요리,2,90,https://wtable.co.kr/recipes/FuSjjrMJWcJtdU1y23LG8MuA?location=recipe_home,물 파슬리 소금 치킨스톡 인 통마늘 당근 양파 양송이버섯 베이컨 셀러리 버터 쇠고기사태 토마토페이스트 월계수잎 후춧가루 올리브오일,17
밤 조림,메인요리,2,180,https://wtable.co.kr/recipes/shK6JqVfP2eEZTLDRxwnQSoY?location=recipe_home,설탕 간장 베이킹식소다 밤,4
육전 비빔면,메인요리,1,20,https://wtable.co.kr/recipes/EYstWuWWQaUsmEeorYQ5Y1Vr?location=recipe_home,설탕 중면 물엿 고춧가루 식초 당근 쪽파 고추장 묵은지 육전 간장 다진마늘 참기름 오이 통깨 맛술,16
배추 말이 물김치,메인요리,2,60,https://wtable.co.kr/recipes/YxiQLSoD7psDw2FEbbUTcwEj?location=recipe_home,파프리카 설탕 물 배 까나리액젓 배추 소금 무 찹쌀가루 꽃소금 양파 쪽파 다진새우젓 다진마늘 매실청 다진생강 한홍고추,18
소갈비 전골,메인요리,2,90,https://wtable.co.kr/recipes/ozouQdk5sH6snUPziDiAM68E?location=recipe_home,물 숙주 국간장 다진마늘 후춧가루 설탕 소금 만가닥버섯 무 통후추 마늘 단호박 가래떡 양파 소갈비 참기름 미나리 대파 맛술 유부 간장 배추속대 청경채,23
해초 김밥,메인요리,2,35,https://wtable.co.kr/recipes/VUVVwTu5YzZnA4bXcEe7zAQw?location=recipe_home,두부 물 설탕 소금 식용유 식초 김밥용김 당근 밥 들기름 간장 통깨 오이 건해초,14
배추 말이 전,메인요리,2,30,https://wtable.co.kr/recipes/gsLvC8MBm6qffLJFFNbmaT39?location=recipe_home,설탕 물 소금 배추 식용유 무 식초 다진양파 밀가루 부침가루 간장 참기름 다진청양고추 통깨 맛술,15
해초 비빔밥,메인요리,1,20,https://wtable.co.kr/recipes/pFxtM9ktmKoCsHQxQKQaqHQj?location=recipe_home,설탕 식초 고춧가루 고추장 밥 날치알 참기름 적양배추 다진마늘 매실청 오이 통깨 건해초,13
돼지고기 수육 양념 조림,메인요리,2,80,https://wtable.co.kr/recipes/GAbxmLypADfeVavNEv6tGxHz?location=recipe_home,물 고춧가루 청주 월계수잎 묵은지 통깨 설탕 부추 명이나물 통후추 사과 생강가루 건고추 물엿 식초 통마늘 양파 굴소스 삼겹살 오겹살 참기름 대파 맛술 생강 된장 간장,26
불고기 파전,메인요리,2,35,https://wtable.co.kr/recipes/YpVNpKE4dDFe22UfNSvB7ah8?location=recipe_home,설탕 물 홍고추 식용유 청양고추 양파 쪽파 부침가루 달걀 쇠고기 간장 다진마늘 참기름 후춧가루,14
곤드레 버섯 솥밥,메인요리,1,40,https://wtable.co.kr/recipes/ubtxpaqPwbt8pbFSgWeHPWsr?location=recipe_home,쌀 건곤드레 고춧가루 올리고당 들기름 새송이버섯 간장 다진마늘 참기름 다진청양고추 다시마육수 통깨 맛술,13
토마토 크림치즈,메인요리,1,30,https://wtable.co.kr/recipes/mF4BjZEVDwwEETjEeQ4KpJiF?location=recipe_home,드라이토마토 크림치즈,2
닭가슴살 볶음밥,메인요리,1,20,https://wtable.co.kr/recipes/MGWTAekmKsJGw9q2okCxDrcS?location=recipe_home,시금치 파프리카파우더 소금 닭가슴살 식용유 당근 굴소스 간장 마늘 현미밥 후춧가루 올리브오일 대파 통깨 맛술,15
가지 데리야키 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/cKaTQqXdLyqLaNk1xC12duDP?location=recipe_home,설탕 물 생강즙 전분가루 가지 쪽파 오일 밥 올리고당 간장 다진마늘 후춧가루 통깨 맛술,14
경양식 돈가스,메인요리,3,40,https://wtable.co.kr/recipes/JXFQdpjjxQed3P8iRwxTnmyd?location=recipe_home,설탕 케첩 소금 식용유 치킨스톡 빵가루 밀가루 달걀 버터 간장 후춧가루 우유 우스터소스 돼지고기등심 맛술,16
닭가슴살 크랜베리 샌드위치,메인요리,1,25,https://wtable.co.kr/recipes/3JKMHdvfUzKUw8bJGeTHFzcK?location=recipe_home,크랜베리 닭가슴살 후추 통밀빵 루꼴라 오이 그릭요거트 마요네즈,8
가지 솥밥,메인요리,1,20,https://wtable.co.kr/recipes/vnCjDv93A4bRD9wY59nefETe?location=recipe_home,다진쇠고기 설탕 식용유 불린쌀 가지 쪽파 간장 다진마늘 마늘 참기름 매실청 다진청양고추 후춧가루 다시마육수 두반장 통깨 맛술,17
무화과 리코타 샐러드,메인요리,1,15,https://wtable.co.kr/recipes/jcLu7dLUGwSsSYxXdHicaLN3?location=recipe_home,소금 리코타치즈 화이트발사믹식초 로메인상추 후춧가루 올리브오일 프로슈토햄 무화과,8
무화과 샌드위치,메인요리,1,20,https://wtable.co.kr/recipes/zqbrMg5exb4mmDkD9WtBNc7v?location=recipe_home,생크림 설탕 식빵 무화과,4
그릭토마토 샐러드,메인요리,1,20,https://wtable.co.kr/recipes/Gfspvq4yKwD7jaf4zKTf5uk2?location=recipe_home,다진견과류 루꼴라 파마산치즈 토마토 후춧가루 그릭요거트 메이플시럽,7
프렌치 감자 샐러드,메인요리,1,20,https://wtable.co.kr/recipes/DNd6N9dCFDFaXUxFmeYCZ7g7?location=recipe_home,디종머스타드 감자 소금 그레인머스타드 샬롯 다진피클 베이컨 레몬즙 후춧가루 올리브오일 딜,11
두부 스크램블,메인요리,1,20,https://wtable.co.kr/recipes/WAaDasrdSM6DWJcyv1HRdWkP?location=recipe_home,두부 시금치 소금 달걀 버터 방울토마토 우유 올리브유 후춧가루,9
한치 초무침,메인요리,1,30,https://wtable.co.kr/recipes/ACxZbqBF1Vb3snHtZdTMwPDe?location=recipe_home,설탕 홍고추 물엿 손질된한치 청고추 고춧가루 식초 양파 고추장 다진마늘 매실청 오이 후춧가루 미나리 통깨,15
깐풍 가지 튀김,메인요리,2,40,https://wtable.co.kr/recipes/5BgkejUiaFkY1gmt2vYuhgbg?location=recipe_home,설탕 물 소금 튀김가루 홍고추 식용유 고춧가루 식초 전분가루 청양고추 가지 굴소스 간장 다진마늘 후춧가루 통깨 맛술,19
청국장찌개,메인요리,2,30,https://wtable.co.kr/recipes/AMW5EpQKRqeSkDR8E2NHfbGr?location=recipe_home,멸치다시마육수 두부 배추김치 청국장 홍고추 김칫국물 무 고춧가루 양파 애호박 된장 참기름 다진마늘 대파,14
당근 김밥,메인요리,1,30,https://wtable.co.kr/recipes/F26tPyWrkvW3SPyXsgBeEgZH?location=recipe_home,소금 식용유 당근 밥 달걀 참기름 다진마늘 김밥김 통깨,9
스팸 두부 짜글이,메인요리,1,30,https://wtable.co.kr/recipes/xnmoNpu1mnUfshYkrggVsoSv?location=recipe_home,멸치다시마육수 두부 설탕 감자 고춧가루 청양고추 양파 고추장 간장 다진마늘 들기름 스팸 후춧가루 참치액 대파 맛술,16
키토 김밥,메인요리,2,20,https://wtable.co.kr/recipes/HUZjXRjGivhx6DYB1ePUPF9U?location=recipe_home,파프리카 소금 식용유 고추냉이 소등심 달걀 간장 후춧가루 오이 케일 김밥김 마요네즈,12
가지 덮밥,메인요리,1,25,https://wtable.co.kr/recipes/AqzsNqvFcANPLc2X31HDsR5U?location=recipe_home,다시마물 소금 식용유 비정제설탕 양파 쪽파 가지 된장 간장 다진마늘 들기름 통깨 현미밥 후춧가루 대파 생강가루 맛술,17
서울식 불고기 전골,메인요리,2,40,https://wtable.co.kr/recipes/DKSGPBsmYzm6Kgr6gQgDPk4T?location=recipe_home,국간장 느타리버섯 다진마늘 당면 후춧가루 설탕 소금 부추 양파 참기름 대파 맛술 표고버섯 팽이버섯 다시마육수 쇠고기 간장 배추속대 참치액,19
그릭요거트 오이 샐러드,메인요리,1,20,https://wtable.co.kr/recipes/wayigBiJazT17BSWeQ31fyoL?location=recipe_home,그릭요거트 올리브오일 인비네거 허브가루 소금 레몬즙 마늘 오이 후춧가루 적양파 딜,11
페타치즈 파스타,메인요리,1,20,https://wtable.co.kr/recipes/vnQAQKYtgqa5APBajJ5t5E1d?location=recipe_home,소금 파스타면 페타치즈 건바질 생바질 다진마늘 방울토마토 후춧가루 올리브오일,9
크림 닭가슴살 구이,메인요리,1,20,https://wtable.co.kr/recipes/Q728dhpxgwT4aY3PJiYzSMVT?location=recipe_home,화이트인 소금 닭가슴살 파슬리 생크림 인 통마늘 양송이버섯 버터 파마산치즈 후춧가루,11
묵은지 들기름 파스타,메인요리,1,25,https://wtable.co.kr/recipes/4Q9TmNnS1NLkKTwki7xx4XmX?location=recipe_home,참치액젓 소금 파스타면 다진돼지고기 청양고추 노른자 들기름 마늘 면수 묵은지 후춧가루 대파 맛술,13
라따뚜이,메인요리,2,50,https://wtable.co.kr/recipes/TY9CTaZckYymymnhc4ZHRRek?location=recipe_home,물 소금 파슬리 가지 노란주키니호박 양파 토마토소스 버터 주키니호박 마늘 토마토 후춧가루 올리브오일,13
토마토 김치,메인요리,2,40,https://wtable.co.kr/recipes/WgKKwhQcpsMKNpnusZnV4Yjv?location=recipe_home,파프리카 국간장 고춧가루 매실액 양파 참기름 영양부추 다진마늘 다진생강 토마토 후춧가루 통깨 맛술,13
열무 비빔국수 ,메인요리,1,30,https://wtable.co.kr/recipes/ymfTdAB1buh8qkSxrAL5E3Cp?location=recipe_home,설탕 물 중면 열무김치 식초 열무김치국물 고춧가루 고추장 달걀 참기름 다진마늘 오이 통깨,13
고등어 파스타 ,메인요리,1,25,https://wtable.co.kr/recipes/zKZoChP17iSRyujCTQ6hMyE9?location=recipe_home,파슬리가루 시금치 소금 파스타면 순살고등어 올리브 어간장 페페론치노 파마산치즈가루 마늘 레몬 후춧가루 올리브오일 대파 맛술,15
초당 옥수수 카레,메인요리,1,40,https://wtable.co.kr/recipes/KfFaswFeSGwQEvxRsNmhnAbU?location=recipe_home,물 병아리콩 초당옥수수 다진마늘 후춧가루 올리브오일 고수 강황가루 소금 크러쉬드페퍼 올리고당 주키니 땅콩버터 양파 병아리콩캔 코코넛밀크 레몬 다진생강 큐민가루 오이,20
생미역 비빔국수,메인요리,1,25,https://wtable.co.kr/recipes/9MAsKetNfupZjQ96Fn1QDErj?location=recipe_home,설탕 중면 소금 식초 생미역 양파 당근 고추장 간장 다진마늘 참기름 오이 대파 통깨,14
두부 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/qjzuWJevzzY79QXMohQBd15n?location=recipe_home,두부 물 전분 고추냉이 쪽파 올리고당 들기름 간장 다진생강 현미밥 통깨 맛술,12
달걀 노른자죽,메인요리,1,20,https://wtable.co.kr/recipes/j8FXfPpcyNSrVVchzv34LvHy?location=recipe_home,불린쌀 물 달걀노른자,3
시금치 리조또,메인요리,1,20,https://wtable.co.kr/recipes/DEYhTHeCa7pgHu6Fi6MLRswM?location=recipe_home,시금치 소금 생크림 양파 밥 쇠고기 버터 다진마늘 파마산치즈가루 우유 후춧가루,11
대파 파스타,메인요리,1,25,https://wtable.co.kr/recipes/mwgdn9wJB1nerDDaMiPfEcTL?location=recipe_home,쯔유 소금 파스타면 소고기 식용유 마늘 페퍼론치노 파마산치즈 후춧가루 대파,10
붓카케 우동,메인요리,1,15,https://wtable.co.kr/recipes/99ET9LQ448Pv1pt9WYbaL3Nq?location=recipe_home,쯔유 물 튀김가루 식용유 청고추 쪽파 우동면 다진생강 레몬 김밥김,11
참깨 메밀 소바,메인요리,1,20,https://wtable.co.kr/recipes/rqUTt76YrJGdKTxZcLBJzman?location=recipe_home,쯔유 물 볶은참깨 올리고당 달걀 참기름 메밀면 오이 깻잎 마요네즈,10
낫또 아보카도 덮밥,메인요리,1,20,https://wtable.co.kr/recipes/RWStmfie3npvq89mv1Uge6wv?location=recipe_home,두부 쯔유 소금 실파 고추냉이 연겨자 달걀 참기름 간장 현미밥 후춧가루 낫또 아보카도,13
두부면 팟타이,메인요리,1,30,https://wtable.co.kr/recipes/QJXZHkXMvHppufJHevvpNdCT?location=recipe_home,숙주 라임 다진마늘 후춧가루 고수 소금 부추 식용유 두부면 칵테일새우 마늘 스리라차소스 다진땅콩 베트남고추 양파 굴소스 달걀 피쉬소스 대파 간장,20
유부 잔치국수,메인요리,1,20,https://wtable.co.kr/recipes/rD9MEMS3R8k4K9tL2eYeFQcm?location=recipe_home,유부 국간장 홍고추 소금 식용유 후추 고춧가루 청양고추 양파 당근 채수 간장 다진마늘 소면 후춧가루 미나리 맛술,17
연어 우엉 솥밥,메인요리,1,30,https://wtable.co.kr/recipes/bdBd6ejiLhkz8mF5ebXvW72b?location=recipe_home,쯔유 물 소금 우엉 식용유 스테이크용생연어 불린쌀 식초 청양고추 쪽파 간장 다진마늘 참기름 후춧가루 다시마육수 통깨 맛술,17
가지 스테이크,메인요리,1,20,https://wtable.co.kr/recipes/nKWKRcy3huTx1TLWEwNc4iWL?location=recipe_home,케첩 파프리카파우더 소금 시나몬가루 라임즙 가지 쪽파 큐민가루 파마산치즈가루 다진마늘 레몬즙 후춧가루 올리브오일 생강가루 마요네즈,15
미역 콩국수,메인요리,1,15,https://wtable.co.kr/recipes/Y6BSSm38nwV7q8BphrvCgJtH?location=recipe_home,두부 두유 소금 볶은땅콩 얼음 미역국수 방울토마토 오이 통깨,9
미역 비빔국수,메인요리,1,25,https://wtable.co.kr/recipes/yBejj8eRpyjMiuprFzrhwW1K?location=recipe_home,당근 참기름 비빔소스 오이 해조미미역국수 통깨,6
다시마 라면,메인요리,1,6,https://wtable.co.kr/recipes/yro1wXK4hUBYrqK32x5rmErc?location=recipe_home,물 고춧가루 칵테일새우 라면수프 다진마늘 다시마국수 대파,7
톳 소바,메인요리,1,15,https://wtable.co.kr/recipes/3avDjR7mc9d83wZvCvtfMzn9?location=recipe_home,쯔유 물 실파 무 고추냉이 얼음 해조미톳국수 김,8
비건 부대찌개 ,메인요리,1,20,https://wtable.co.kr/recipes/g992Fg2NSi3PqLesBcYkZDf3?location=recipe_home,국간장 고춧가루 다진마늘 후춧가루 라면사리 소금 소시지 고추장 채수 베이크드빈 양파 채소만두 게김치 대파 맛술 두부 표고버섯 팽이버섯 템페,19
한입 가지 튀김,메인요리,1,20,https://wtable.co.kr/recipes/5BMiLAWwBMraZuhak9oRBJX5?location=recipe_home,설탕 파슬리가루 케첩 소금 칠리소스 빵가루 식초 밀가루 가지 달걀 파마산치즈가루,11
가자미 버터구이 ,메인요리,1,20,https://wtable.co.kr/recipes/RwqscQAhiGEyMsuJyXJHVM6g?location=recipe_home,파슬리가루 가자미필렛 소금 밀가루 빈스 버터 레몬 후춧가루,8
라이스페이퍼 떡볶이,메인요리,1,25,https://wtable.co.kr/recipes/6quTShQgHmfYu7UUW4PpDyN4?location=recipe_home,설탕 슬라이스치즈 다시마멸치육수 고춧가루 양배추 고추장 올리고당 간장 통깨 라이스페이퍼 대파 어묵,12
달걀 카레,메인요리,1,20,https://wtable.co.kr/recipes/B5ipMXkFET5i6yKr3mNZis9J?location=recipe_home,물 소금 용카레가루 양파 다진파슬리 달걀 버터 마늘 우유,9
